impl,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p99_ns,p999_ns,max_ns
rev,64,best_bid,1000000,9,7.8,9,9,9,3699
rev,64,top_n_8,1000000,9,10.4,9,19,19,4079
rev,64,top_n_full,1000000,9,7.8,9,9,9,5459
rev,128,best_bid,1000000,9,7.8,9,9,9,8615
rev,128,top_n_8,1000000,9,10.5,9,19,19,4719
rev,128,top_n_full,1000000,9,15.3,19,19,19,3539
rev,256,best_bid,1000000,9,7.8,9,9,9,4359
rev,256,top_n_8,1000000,9,10.4,9,19,19,3989
rev,256,top_n_full,1000000,9,33.3,29,39,39,6031
rev,512,best_bid,1000000,9,7.8,9,9,9,9191
rev,512,top_n_8,1000000,9,10.4,9,19,19,7319
rev,512,top_n_full,1000000,9,79.0,79,79,89,10071
rev,1024,best_bid,1000000,9,7.8,9,9,9,4891
rev,1024,top_n_8,1000000,9,10.6,9,19,19,6071
rev,1024,top_n_full,1000000,9,146.8,149,169,189,43135
rev,2048,best_bid,1000000,9,7.8,9,9,9,2899
rev,2048,top_n_8,1000000,9,10.3,9,19,19,6471
rev,2048,top_n_full,1000000,9,531.5,529,559,699,46463
flat,1,best_bid,1000000,9,7.8,9,9,9,9055
flat,1,top_n_8,1000000,9,1979.5,1969,1979,3759,181759
flat,1,top_n_full,1000000,9,7.8,9,9,9,8223
flat,2,best_bid,1000000,9,7.8,9,9,9,3369
flat,2,top_n_8,1000000,9,1979.7,1979,1979,3789,181503
flat,2,top_n_full,1000000,9,7.8,9,9,9,4979
flat,4,best_bid,1000000,9,7.8,9,9,9,2859
flat,4,top_n_8,1000000,9,1980.8,1969,1979,3779,182527
flat,4,top_n_full,1000000,9,7.8,9,9,9,2109
flat,8,best_bid,1000000,9,7.8,9,9,9,8479
flat,8,top_n_8,1000000,9,7.8,9,9,9,4219
flat,8,top_n_full,1000000,9,7.9,9,9,9,5431
flat,16,best_bid,1000000,9,7.8,9,9,9,4551
flat,16,top_n_8,1000000,9,7.8,9,9,9,6439
flat,16,top_n_full,1000000,9,16.9,19,19,19,4419
flat,32,best_bid,1000000,9,7.8,9,9,9,2629
flat,32,top_n_8,1000000,9,7.9,9,9,9,3689
flat,32,top_n_full,1000000,9,30.6,29,39,39,4911
flat,64,best_bid,1000000,9,7.8,9,9,9,7279
flat,64,top_n_8,1000000,9,7.8,9,9,9,2349
flat,64,top_n_full,1000000,9,64.8,69,79,79,12983
flat,128,best_bid,1000000,9,7.8,9,9,9,9223
flat,128,top_n_8,1000000,9,7.8,9,9,9,3449
flat,128,top_n_full,1000000,9,139.9,149,179,179,182015
flat,256,best_bid,1000000,9,7.8,9,9,9,2739
flat,256,top_n_8,1000000,9,7.9,9,9,9,4871
flat,256,top_n_full,1000000,9,283.8,299,309,309,10143
flat,512,best_bid,1000000,9,7.8,9,9,9,7839
flat,512,top_n_8,1000000,9,7.9,9,9,9,10743
flat,512,top_n_full,1000000,9,573.6,609,619,709,181503
flat,1024,best_bid,1000000,9,7.8,9,9,9,3879
flat,1024,top_n_8,1000000,9,7.9,9,9,9,6479
flat,1024,top_n_full,1000000,9,1164.7,1229,1239,2849,47551
flat,2048,best_bid,1000000,9,7.8,9,9,9,16559
flat,2048,top_n_8,1000000,9,7.9,9,9,9,2229
flat,2048,top_n_full,1000000,9,2304.5,2459,2469,4339,185343
