impl,locality,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
sorted,concentrated,128,insert,1000000,7,31.2,38,46,52,69,29343
sorted,concentrated,128,remove,1000000,7,29.3,34,42,46,57,12399
sorted,concentrated,128,trade_baseline,1000000,7,7.5,7,10,11,18,9583
sorted,concentrated,256,update,1000000,7,13.9,14,15,23,41,5231
sorted,concentrated,256,insert,1000000,7,47.1,65,74,88,106,16095
sorted,concentrated,256,remove,1000000,7,43.8,65,68,75,93,7067
sorted,concentrated,256,trade_baseline,1000000,7,13.9,14,15,16,16,2127
sorted,concentrated,512,update,1000000,7,14.1,14,15,20,35,5363
sorted,concentrated,512,insert,1000000,7,63.4,49,107,118,141,109055
sorted,concentrated,512,remove,1000000,7,72.7,99,129,156,235,144127
sorted,concentrated,512,trade_baseline,1000000,7,14.1,14,15,16,16,1201
sorted,concentrated,1024,update,1000000,7,15.8,16,17,22,38,25727
sorted,concentrated,1024,insert,1000000,7,97.8,69,173,191,248,11719
sorted,concentrated,1024,remove,1000000,7,94.4,162,167,183,219,11799
sorted,concentrated,1024,trade_baseline,1000000,7,14.0,14,15,16,16,3803
sorted,concentrated,2048,update,1000000,7,16.2,16,17,19,28,4939
sorted,concentrated,2048,insert,1000000,7,162.5,70,301,331,430,12903
sorted,concentrated,2048,remove,1000000,7,159.8,51,294,323,345,113535
sorted,concentrated,2048,trade_baseline,1000000,7,14.2,14,15,16,16,2675
rev,concentrated,1,update,1000000,7,10.0,10,11,11,12,9871
rev,concentrated,1,insert,1000000,7,8.4,8,9,10,12,108671
rev,concentrated,1,remove,1000000,7,8.6,9,9,10,11,1820
rev,concentrated,1,trade_baseline,1000000,7,9.5,9,11,11,12,9543
rev,concentrated,2,update,1000000,7,7.8,8,9,11,12,1974
rev,concentrated,2,insert,1000000,7,8.9,9,10,11,11,10903
rev,concentrated,2,remove,1000000,7,8.9,9,10,11,13,2015
rev,concentrated,2,trade_baseline,1000000,7,7.6,7,10,11,12,1168
rev,concentrated,4,update,1000000,7,7.9,8,9,10,11,2145
rev,concentrated,4,insert,1000000,7,9.2,9,10,11,22,6543
rev,concentrated,4,remove,1000000,7,9.1,9,10,11,27,112639
rev,concentrated,4,trade_baseline,1000000,7,7.1,7,9,11,11,10271
rev,concentrated,8,update,1000000,7,8.0,8,9,11,15,2099
rev,concentrated,8,insert,1000000,7,9.6,9,11,12,24,3439
rev,concentrated,8,remove,1000000,7,9.6,9,11,19,26,1471
rev,concentrated,8,trade_baseline,1000000,7,7.2,7,9,11,14,9959
rev,concentrated,16,update,1000000,7,8.6,8,11,17,26,6151
rev,concentrated,16,insert,1000000,7,10.0,10,11,15,24,3449
rev,concentrated,16,remove,1000000,7,9.6,9,11,14,21,7403
rev,concentrated,16,trade_baseline,1000000,7,7.0,6,9,11,11,3171
rev,concentrated,32,update,1000000,7,8.0,8,9,11,15,1206
rev,concentrated,32,insert,1000000,7,11.6,11,13,16,23,4443
rev,concentrated,32,remove,1000000,7,11.3,11,13,16,20,1353
rev,concentrated,32,trade_baseline,1000000,7,7.0,6,9,11,11,2505
rev,concentrated,64,update,1000000,7,8.0,8,9,11,14,14783
rev,concentrated,64,insert,1000000,7,14.9,15,16,19,27,1317
rev,concentrated,64,remove,1000000,7,14.6,14,16,19,26,4443
rev,concentrated,64,trade_baseline,1000000,7,7.1,7,9,11,12,5951
rev,concentrated,128,update,1000000,7,8.0,8,9,11,14,1872
rev,concentrated,128,insert,1000000,7,20.5,20,22,28,37,10263
rev,concentrated,128,remove,1000000,7,21.3,21,22,29,42,1918
rev,concentrated,128,trade_baseline,1000000,7,7.1,7,9,11,12,3109
rev,concentrated,256,update,1000000,7,19.3,18,26,42,57,2027
rev,concentrated,256,insert,1000000,7,46.1,45,49,66,79,9295
rev,concentrated,256,remove,1000000,7,45.4,45,48,53,71,118271
