impl,corpus,schedule,target_rate_eps,achieved_rate_eps,samples,clock_overhead_ns,resp_p50_ns,resp_p99_ns,resp_p999_ns,resp_max_ns,saturated
flat,burst,fixed,50000000,37191174,100000,7,348671,681983,688127,689151,true
flat,burst,fixed,100000000,39468159,100000,7,715775,1519615,1532927,1533951,true
flat,burst,fixed,200000000,41244767,100000,7,971775,1905663,1923071,1925119,true
btree,flashcrash,fixed,100000,100001,100000,7,88,214,11415,119103,false
btree,flashcrash,fixed,1000000,1000010,100000,7,73,158,29183,121471,false
btree,flashcrash,fixed,2000000,2000018,100000,7,64,355,79679,123711,false
btree,flashcrash,fixed,5000000,5000042,100000,7,54,1788,9279,13767,false
btree,flashcrash,fixed,10000000,10000050,100000,7,49,4587,10551,12751,false
btree,flashcrash,fixed,20000000,20000068,100000,7,52,4395,7795,8415,false
btree,flashcrash,fixed,50000000,28574629,100000,7,763903,1485823,1499135,1500159,true
btree,flashcrash,fixed,100000000,27431320,100000,7,1204223,2621439,2643967,2646015,true
btree,flashcrash,fixed,200000000,29783445,100000,7,1438719,2830335,2856959,2859007,true
sorted,flashcrash,fixed,100000,100001,100000,7,78,162,14215,122367,false
sorted,flashcrash,fixed,1000000,1000009,100000,7,63,132,34335,128447,false
sorted,flashcrash,fixed,2000000,2000017,100000,7,58,126,68799,113535,false
sorted,flashcrash,fixed,5000000,5000046,100000,7,49,435,5167,10895,false
sorted,flashcrash,fixed,10000000,10000079,100000,7,43,43295,102207,108287,false
sorted,flashcrash,fixed,20000000,20000136,100000,7,43,3971,11415,12855,false
sorted,flashcrash,fixed,50000000,31300012,100000,7,607231,1184767,1195007,1195007,true
sorted,flashcrash,fixed,100000000,32210155,100000,7,1063935,2085887,2103295,2105343,true
sorted,flashcrash,fixed,200000000,31151872,100000,7,1414143,2684927,2709503,2711551,true
rev,flashcrash,fixed,100000,100001,100000,7,79,180,17103,124031,false
rev,flashcrash,fixed,1000000,1000010,100000,7,64,135,1995,19551,false
rev,flashcrash,fixed,2000000,2000019,100000,7,58,140,64767,110207,false
rev,flashcrash,fixed,5000000,5000041,100000,7,48,1527,7135,10839,false
rev,flashcrash,fixed,10000000,10000048,100000,7,43,5559,11191,13439,false
rev,flashcrash,fixed,20000000,20000140,100000,7,42,94655,113855,115711,false
rev,flashcrash,fixed,50000000,32736085,100000,7,532991,1044991,1054719,1055743,true
rev,flashcrash,fixed,100000000,34942921,100000,7,931327,1842175,1860607,1862655,true
rev,flashcrash,fixed,200000000,35071992,100000,7,1171455,2328575,2351103,2353151,true
flat,flashcrash,fixed,100000,100001,100000,7,62,1899,75647,130559,false
flat,flashcrash,fixed,1000000,1000010,100000,7,53,1901,20495,110015,false
flat,flashcrash,fixed,2000000,2000019,100000,7,48,3491,75519,117759,false
flat,flashcrash,fixed,5000000,4999630,100000,7,42,3271,9287,21663,false
flat,flashcrash,fixed,10000000,9997695,100000,7,40,3169,11015,16015,false
flat,flashcrash,fixed,20000000,19989609,100000,7,47,4927,12391,14007,false
flat,flashcrash,fixed,50000000,29147687,100000,7,714239,1417215,1428479,1431551,true
flat,flashcrash,fixed,100000000,31737820,100000,7,1076223,2129919,2148351,2152447,true
flat,flashcrash,fixed,200000000,31663054,100000,7,1331199,2631679,2654207,2658303,true
